"count","gender","status","marital_status","education_level","card_category"
2,"F","Attrited Customer","Married","Unknown","Silver"
4,"F","Existing Customer","Married","College","Silver"
2,"F","Existing Customer","Divorced","High School","Silver"
1,"F","Attrited Customer","Married","Uneducated","Gold"
9,"F","Existing Customer","Married","Uneducated","Silver"
2,"M","Existing Customer","Unknown","College","Silver"
2,"M","Existing Customer","Unknown","Post-Graduate","Silver"
36,"M","Existing Customer","Single","Graduate","Silver"
1,"M","Attrited Customer","Unknown","High School","Gold"
3,"F","Existing Customer","Married","Graduate","Gold"
7,"M","Attrited Customer","Divorced","Unknown","Blue"
1,"F","Existing Customer","Divorced","Unknown","Silver"
1,"F","Existing Customer","Single","Post-Graduate","Gold"
3,"F","Attrited Customer","Single","Graduate","Silver"
3,"M","Existing Customer","Married","Uneducated","Gold"
55,"M","Attrited Customer","Married","High School","Blue"
1,"M","Attrited Customer","Married","High School","Gold"
3,"F","Existing Customer","Single","Doctorate","Silver"
64,"M","Existing Customer","Married","Doctorate","Blue"
11,"M","Attrited Customer","Single","Doctorate","Blue"
1,"M","Attrited Customer","Single","Unknown","Gold"
95,"F","Existing Customer","Unknown","Graduate","Blue"
386,"M","Existing Customer","Married","High School","Blue"
14,"M","Existing Customer","Single","Uneducated","Silver"
6,"F","Existing Customer","Married","Doctorate","Silver"
13,"M","Existing Customer","Single","Post-Graduate","Silver"
1,"M","Attrited Customer","Divorced","College","Silver"
22,"F","Attrited Customer","Single","Doctorate","Blue"
2,"M","Existing Customer","Single","Graduate","Platinum"
10,"F","Existing Customer","Single","College","Silver"
39,"M","Attrited Customer","Married","Unknown","Blue"
246,"M","Existing Customer","Married","Uneducated","Blue"
5,"M","Attrited Customer","Single","College","Silver"
19,"F","Attrited Customer","Divorced","Graduate","Blue"
1,"F","Attrited Customer","Unknown","High School","Gold"
1,"M","Attrited Customer","Married","College","Silver"
71,"F","Existing Customer","Single","Doctorate","Blue"
174,"M","Existing Customer","Married","College","Blue"
1,"M","Existing Customer","Married","Post-Graduate","Platinum"
31,"F","Attrited Customer","Married","Doctorate","Blue"
76,"M","Existing Customer","Unknown","Graduate","Blue"
567,"M","Existing Customer","Married","Graduate","Blue"
1,"M","Existing Customer","Married","Unknown","Platinum"
128,"M","Existing Customer","Single","College","Blue"
123,"F","Attrited Customer","Married","Graduate","Blue"
1,"M","Existing Customer","Single","Uneducated","Gold"
24,"F","Attrited Customer","Unknown","Graduate","Blue"
18,"M","Existing Customer","Married","High School","Silver"
1,"F","Existing Customer","Married","Uneducated","Gold"
4,"M","Existing Customer","Single","College","Gold"
288,"F","Existing Customer","Married","Uneducated","Blue"
63,"M","Existing Customer","Unknown","High School","Blue"
1,"M","Existing Customer","Married","Doctorate","Silver"
279,"F","Existing Customer","Married","Unknown","Blue"
1,"M","Attrited Customer","Unknown","High School","Silver"
1,"M","Attrited Customer","Married","Post-Graduate","Platinum"
4,"F","Attrited Customer","Unknown","Doctorate","Blue"
48,"M","Existing Customer","Divorced","Uneducated","Blue"
495,"F","Existing Customer","Single","Graduate","Blue"
1,"F","Existing Customer","Single","High School","Platinum"
35,"M","Existing Customer","Divorced","Unknown","Blue"
1,"M","Attrited Customer","Unknown","Graduate","Silver"
112,"F","Attrited Customer","Single","Graduate","Blue"
26,"M","Existing Customer","Single","High School","Silver"
19,"M","Existing Customer","Married","Unknown","Silver"
1,"M","Existing Customer","Unknown","Graduate","Platinum"
2,"M","Existing Customer","Unknown","Graduate","Gold"
8,"M","Existing Customer","Married","Graduate","Gold"
2,"F","Attrited Customer","Married","Post-Graduate","Silver"
63,"F","Attrited Customer","Single","Unknown","Blue"
2,"F","Existing Customer","Married","High School","Gold"
50,"M","Existing Customer","Divorced","High School","Blue"
6,"M","Attrited Customer","Divorced","College","Blue"
8,"F","Existing Customer","Unknown","Uneducated","Silver"
2,"F","Attrited Customer","Single","College","Silver"
29,"M","Existing Customer","Divorced","College","Blue"
55,"F","Attrited Customer","Single","Uneducated","Blue"
37,"M","Existing Customer","Unknown","Uneducated","Blue"
16,"F","Attrited Customer","Divorced","Uneducated","Blue"
1,"M","Existing Customer","Single","Doctorate","Gold"
66,"M","Existing Customer","Single","Doctorate","Blue"
6,"F","Attrited Customer","Unknown","College","Blue"
49,"F","Existing Customer","Unknown","Unknown","Blue"
1,"M","Existing Customer","Single","Doctorate","Platinum"
1,"M","Attrited Customer","Married","Doctorate","Silver"
1,"M","Existing Customer","Married","Graduate","Platinum"
38,"F","Attrited Customer","Married","College","Blue"
1,"M","Existing Customer","Unknown","Doctorate","Gold"
4,"M","Existing Customer","Single","Unknown","Gold"
3,"M","Attrited Customer","Divorced","Doctorate","Blue"
9,"M","Existing Customer","Unknown","Doctorate","Blue"
2,"F","Existing Customer","Unknown","College","Silver"
14,"F","Existing Customer","Divorced","Doctorate","Blue"
103,"F","Existing Customer","Married","Post-Graduate","Blue"
3,"M","Attrited Customer","Divorced","Post-Graduate","Blue"
8,"M","Existing Customer","Single","High School","Gold"
31,"M","Attrited Customer","Married","College","Blue"
1,"F","Existing Customer","Single","Graduate","Platinum"
1,"M","Existing Customer","Divorced","Unknown","Gold"
14,"M","Attrited Customer","Divorced","Graduate","Blue"
14,"M","Attrited Customer","Unknown","Uneducated","Blue"
33,"M","Existing Customer","Unknown","College","Blue"
3,"M","Attrited Customer","Single","Post-Graduate","Silver"
1,"M","Existing Customer","Unknown","High School","Gold"
3,"F","Existing Customer","Married","Post-Graduate","Silver"
6,"M","Existing Customer","Married","College","Gold"
13,"M","Existing Customer","Divorced","Doctorate","Blue"
44,"M","Existing Customer","Unknown","Unknown","Blue"
8,"M","Attrited Customer","Unknown","Post-Graduate","Blue"
9,"M","Attrited Customer","Unknown","Unknown","Blue"
3,"M","Attrited Customer","Married","High School","Silver"
47,"M","Attrited Customer","Married","Uneducated","Blue"
1,"M","Attrited Customer","Married","College","Gold"
4,"F","Attrited Customer","Divorced","College","Blue"
2,"M","Attrited Customer","Married","Unknown","Silver"
419,"M","Existing Customer","Single","Graduate","Blue"
3,"F","Existing Customer","Single","College","Gold"
7,"F","Attrited Customer","Married","Graduate","Silver"
3,"M","Existing Customer","Married","Unknown","Gold"
28,"F","Existing Customer","Unknown","College","Blue"
44,"F","Existing Customer","Divorced","College","Blue"
39,"F","Existing Customer","Divorced","Unknown","Blue"
1,"M","Attrited Customer","Married","Post-Graduate","Silver"
2,"M","Attrited Customer","Married","Uneducated","Silver"
54,"F","Existing Customer","Divorced","Uneducated","Blue"
1,"F","Existing Customer","Divorced","High School","Gold"
1,"M","Attrited Customer","Single","Uneducated","Gold"
1,"F","Existing Customer","Single","Unknown","Platinum"
265,"F","Existing Customer","Single","Unknown","Blue"
10,"M","Attrited Customer","Single","Graduate","Silver"
6,"F","Attrited Customer","Unknown","Unknown","Blue"
9,"F","Attrited Customer","Divorced","Unknown","Blue"
15,"M","Existing Customer","Married","College","Silver"
78,"M","Attrited Customer","Married","Graduate","Blue"
1,"F","Attrited Customer","Married","Graduate","Gold"
62,"M","Existing Customer","Single","Post-Graduate","Blue"
1,"M","Existing Customer","Unknown","Post-Graduate","Gold"
10,"M","Attrited Customer","Divorced","High School","Blue"
10,"M","Attrited Customer","Unknown","High School","Blue"
1,"M","Existing Customer","Married","Post-Graduate","Gold"
1,"M","Attrited Customer","Divorced","Post-Graduate","Silver"
1,"F","Existing Customer","Married","Unknown","Gold"
2,"F","Existing Customer","Unknown","Doctorate","Silver"
10,"M","Existing Customer","Unknown","Graduate","Silver"
1,"M","Attrited Customer","Unknown","Graduate","Gold"
11,"F","Existing Customer","Married","Unknown","Silver"
50,"F","Existing Customer","Divorced","High School","Blue"
9,"M","Existing Customer","Divorced","Graduate","Silver"
2,"F","Attrited Customer","Single","Uneducated","Gold"
93,"M","Existing Customer","Married","Post-Graduate","Blue"
2,"F","Attrited Customer","Single","Uneducated","Silver"
2,"M","Attrited Customer","Married","Unknown","Gold"
2,"M","Attrited Customer","Single","Unknown","Silver"
4,"F","Existing Customer","Single","High School","Gold"
204,"M","Existing Customer","Single","Unknown","Blue"
1,"F","Attrited Customer","Single","Doctorate","Gold"
43,"M","Existing Customer","Married","Graduate","Silver"
3,"M","Attrited Customer","Divorced","Graduate","Silver"
322,"F","Existing Customer","Single","High School","Blue"
5,"M","Existing Customer","Unknown","High School","Silver"
17,"F","Attrited Customer","Single","Post-Graduate","Blue"
3,"F","Attrited Customer","Unknown","Post-Graduate","Blue"
75,"F","Existing Customer","Single","Post-Graduate","Blue"
12,"M","Existing Customer","Unknown","Post-Graduate","Blue"
1,"F","Existing Customer","Single","Uneducated","Platinum"
3,"M","Existing Customer","Unknown","Uneducated","Silver"
2,"M","Existing Customer","Married","Uneducated","Platinum"
6,"M","Existing Customer","Married","High School","Gold"
87,"F","Existing Customer","Married","Doctorate","Blue"
1,"F","Existing Customer","Divorced","Post-Graduate","Platinum"
3,"M","Attrited Customer","Divorced","Uneducated","Blue"
11,"F","Attrited Customer","Divorced","High School","Blue"
10,"F","Existing Customer","Married","High School","Silver"
11,"F","Existing Customer","Single","Uneducated","Silver"
67,"F","Attrited Customer","Married","Unknown","Blue"
37,"M","Attrited Customer","Single","Uneducated","Blue"
197,"F","Existing Customer","Married","College","Blue"
1,"F","Existing Customer","Divorced","Doctorate","Silver"
164,"F","Existing Customer","Single","College","Blue"
2,"M","Attrited Customer","Unknown","College","Blue"
1,"M","Attrited Customer","Single","Doctorate","Silver"
15,"F","Attrited Customer","Unknown","High School","Blue"
43,"F","Attrited Customer","Married","Uneducated","Blue"
14,"M","Existing Customer","Single","College","Silver"
1,"F","Attrited Customer","Single","Unknown","Gold"
10,"M","Existing Customer","Single","Graduate","Gold"
250,"F","Existing Customer","Single","Uneducated","Blue"
623,"F","Existing Customer","Married","Graduate","Blue"
80,"M","Existing Customer","Divorced","Graduate","Blue"
285,"M","Existing Customer","Single","High School","Blue"
4,"M","Attrited Customer","Married","Graduate","Silver"
14,"M","Existing Customer","Married","Uneducated","Silver"
3,"F","Existing Customer","Single","Unknown","Gold"
3,"M","Existing Customer","Divorced","High School","Silver"
46,"M","Attrited Customer","Single","High School","Blue"
21,"F","Existing Customer","Married","Graduate","Silver"
28,"M","Attrited Customer","Single","College","Blue"
39,"F","Existing Customer","Unknown","Uneducated","Blue"
7,"F","Existing Customer","Unknown","Graduate","Silver"
25,"F","Existing Customer","Single","Graduate","Silver"
64,"F","Attrited Customer","Single","High School","Blue"
2,"M","Existing Customer","Unknown","Doctorate","Silver"
2,"F","Existing Customer","Single","Post-Graduate","Silver"
7,"F","Attrited Customer","Unknown","Uneducated","Blue"
76,"F","Attrited Customer","Married","High School","Blue"
1,"F","Attrited Customer","Single","Graduate","Gold"
1,"F","Attrited Customer","Unknown","College","Silver"
11,"F","Existing Customer","Single","Unknown","Silver"
94,"F","Existing Customer","Divorced","Graduate","Blue"
1,"F","Existing Customer","Unknown","Doctorate","Gold"
5,"M","Existing Customer","Married","Post-Graduate","Silver"
18,"F","Existing Customer","Divorced","Post-Graduate","Blue"
390,"F","Existing Customer","Married","High School","Blue"
1,"M","Attrited Customer","Divorced","Uneducated","Silver"
4,"M","Existing Customer","Divorced","Uneducated","Silver"
1,"M","Existing Customer","Single","Post-Graduate","Gold"
3,"M","Attrited Customer","Single","Graduate","Gold"
1,"F","Attrited Customer","Unknown","Uneducated","Silver"
3,"F","Attrited Customer","Single","Graduate","Platinum"
4,"F","Attrited Customer","Divorced","Post-Graduate","Blue"
1,"F","Existing Customer","Unknown","Unknown","Gold"
20,"M","Existing Customer","Single","Unknown","Silver"
1,"F","Existing Customer","Unknown","High School","Silver"
16,"F","Existing Customer","Unknown","Post-Graduate","Blue"
7,"F","Existing Customer","Unknown","Doctorate","Blue"
1,"F","Attrited Customer","Married","Doctorate","Platinum"
262,"M","Existing Customer","Married","Unknown","Blue"
43,"M","Attrited Customer","Single","Unknown","Blue"
18,"F","Existing Customer","Single","High School","Silver"
10,"M","Attrited Customer","Unknown","Graduate","Blue"
207,"M","Existing Customer","Single","Uneducated","Blue"
1,"F","Attrited Customer","Unknown","High School","Silver"
4,"M","Existing Customer","Divorced","Unknown","Silver"
1,"M","Existing Customer","Unknown","Unknown","Platinum"
1,"M","Existing Customer","Unknown","Unknown","Gold"
5,"M","Attrited Customer","Single","Uneducated","Silver"
1,"F","Existing Customer","Married","Doctorate","Gold"
2,"F","Attrited Customer","Single","High School","Silver"
15,"M","Attrited Customer","Single","Post-Graduate","Blue"
2,"F","Attrited Customer","Married","High School","Silver"
18,"F","Attrited Customer","Married","Post-Graduate","Blue"
3,"F","Attrited Customer","Single","Unknown","Silver"
13,"M","Attrited Customer","Married","Doctorate","Blue"
28,"F","Attrited Customer","Single","College","Blue"
1,"M","Attrited Customer","Divorced","High School","Silver"
1,"F","Existing Customer","Divorced","College","Gold"
15,"M","Attrited Customer","Married","Post-Graduate","Blue"
1,"M","Attrited Customer","Single","High School","Gold"
5,"M","Attrited Customer","Single","High School","Silver"
2,"M","Existing Customer","Divorced","Uneducated","Gold"
1,"M","Attrited Customer","Unknown","Post-Graduate","Gold"
3,"M","Existing Customer","Unknown","Unknown","Silver"
2,"M","Attrited Customer","Unknown","Doctorate","Blue"
6,"F","Existing Customer","Divorced","Graduate","Silver"
1,"M","Existing Customer","Divorced","College","Silver"
14,"M","Existing Customer","Divorced","Post-Graduate","Blue"
5,"F","Attrited Customer","Divorced","Doctorate","Blue"
5,"M","Existing Customer","Single","Doctorate","Silver"
7,"F","Existing Customer","Single","Graduate","Gold"
8,"F","Existing Customer","Divorced","Uneducated","Silver"
55,"F","Existing Customer","Unknown","High School","Blue"
70,"M","Attrited Customer","Single","Graduate","Blue"
